"wavelength [um]" "planet flux [ergs/cm2/s/cm]" "star flux [ergs/cm2/s/cm]" albedo "planet-star contrast"
2.0012232189526284 1245713.4504908826 12230227259837.26 0.03640688053023427 1.0185529868129847e-07
1.9879260547070958 668023.6212347817 11146308058799.69 0.02142202982116039 5.993227692171995e-08
1.9747172437123648 514973.04875664035 12993426241166.396 0.014166437740358298 3.9633352989304546e-08
1.9615961989036443 586982.4424282208 13333347833626.393 0.015735688293320383 4.402363530544555e-08
1.9485623371169094 450816.9753088226 12272964794573.54 0.013129573369579789 3.6732524117412136e-08
1.935615079062976 599930.9640699117 10090016490088.037 0.02125246177088295 5.9457877463258465e-08
1.9227538493017606 1101975.8735891797 12839321060181.871 0.030678199640042973 8.58282044995898e-08
1.9099780762166991 1847924.0508372232 13553838411142.385 0.048732832676249546 1.3633953680000165e-07
1.8972871919893455 2140346.0705340668 12013706681711.285 0.06368055171563913 1.781586755228809e-07
1.8846806325741339 2720145.2739854036 13534660616618.918 0.0718364017557521 2.0097624543650514e-07
1.8721578376733092 2577511.839947196 14550351398576.613 0.06331797674737752 1.7714430183447946e-07
1.8597182507120247 2783429.7960061696 11698535222780.732 0.08504496895683343 2.3792977009514448e-07
1.847361318813606 2648778.0160229383 10902603328744.62 0.08683907602956897 2.429491320700862e-07
1.8350864927749773 3517325.2078685747 16678083587618.12 0.07538175086548635 2.108950461478591e-07
1.8228932270422535 3069362.486836951 16731873282324.133 0.0655697391765736 1.8344404329666324e-07
1.810780979686491 3084082.8442434384 15602181209494.15 0.0706546191658878 1.97669979782489e-07
1.7987492123796038 2426024.4830921697 16632327892260.916 0.05213651323620167 1.4586199230842533e-07
1.7867973903704373 1379672.4481173828 16085566361904.277 0.030657693415915458 8.577083436644698e-08
1.774924982460999 2068820.0471502007 17467202902328.365 0.0423349638060695 1.1844025965224395e-07
1.7631314609828528 1861959.4395197032 17426269482787.291 0.0381914047163105 1.0684785067503083e-07
1.7514163017736646 2175240.51117963 17688830813602.156 0.04395497088836823 1.229725431884926e-07
1.7397789841539057 1666793.5292949525 20655767857582.555 0.028842991616515348 8.069385465537593e-08
1.7282189909037136 1369467.3018992816 21614996607600.953 0.02264625209817355 6.335727581922015e-08
1.7167358082399016 1150078.8934770138 21623175426450.562 0.01901113314888786 5.318732659728502e-08
1.7053289257931248 1150647.5173090536 21788707393536.004 0.018876030920941648 5.280935195129625e-08
1.693997836585197 860722.0842756619 22888022508304.13 0.013441709841156481 3.760578634363797e-08
1.6827420370065578 2406673.5045408187 22859252424632.7 0.03763180029942512 1.0528224894823913e-07
1.6715610267938898 1633799.9154727452 22927530228086.863 0.025470732603198338 7.125930700862385e-08
1.6604543090078838 2478771.253687571 23283394705969.812 0.038053095629052944 1.064609042190922e-07
1.6494213900111536 2035484.027513288 23696656661742.766 0.030702975402373423 8.58975194926755e-08
1.6384617794462955 2667794.3626479693 23736485202093.773 0.04017314031154321 1.1239213977698121e-07
1.6275749902140941 3784536.505024196 23398817783828.535 0.05781208403971923 1.617405007375961e-07
1.6167605384518746 5363442.043845911 23337273188113.77 0.08214730572490596 2.2982299605498212e-07
1.6060179435119948 6455222.476480438 25332848766457.613 0.09108083977143434 2.5481628757945236e-07
1.5953467279404867 6199223.907176293 24402325878950.016 0.09080420116970438 2.540423375184855e-07
1.5847464174558323 4812800.55664757 23232497030916.453 0.07404603645131182 2.0715812640556783e-07
1.5742165409278868 4102857.7863655686 22029461717504.434 0.06657059217893589 1.8624412339160655e-07
1.563756630356937 2901544.773774224 22413514930189.906 0.046272093601893625 1.2945514270347598e-07
1.5533662208529044 2087600.2425503044 23390776563654.914 0.03190087094900746 8.924886426362014e-08
1.543044850614679 2006285.2514865801 23197019110902.098 0.030914365858961138 8.648892523193506e-08
1.532792060909598 1475315.142160027 19993978644654.582 0.02637457183318074 7.378797228806957e-08
1.522607396053056 1131349.0862268957 22915142144192.387 0.017647123168673184 4.9371244529400606e-08
1.5124904033882516 584089.0683573468 24149100207454.703 0.008645258161830316 2.418678391077451e-08
1.5024406332660707 739645.8994049237 20829567866345.56 0.012692390804953955 3.550942122999937e-08
1.4924576390250999 428629.35463940934 21277370295671.55 0.0072005189976738415 2.0144846317150635e-08
1.482540976971777 1202254.3683406902 25458103820344.395 0.016879911001536498 4.7224819916867875e-08
1.4726902063606688 1058272.377067719 24762964812720.027 0.01527547282117875 4.2736093398804763e-08
1.4629048893748835 2263647.7975794356 25731466033929.73 0.03144446189128445 8.797197153844909e-08
1.4531845911066117 3333407.9209196265 25295268144860.258 0.04710304872016326 1.3177990056598555e-07
1.443528879537797 2854135.305291445 26339449117919.676 0.03873180281591885 1.0835971900982827e-07
1.4339373255209347 2626810.1871140874 24435812427504.547 0.03842392722733406 1.0749837742891631e-07
1.4244095027599981 2159778.181879022 25013780296864.668 0.030862397503688688 8.634353369409492e-08
1.4149449877914932 1944333.6399719215 24791720731475.207 0.02803263750351749 7.842673209461511e-08
