HD5319_b 121.405 12.9319 0.573061 13.5 1488.38
HIP75092_b 81.6696 24.7338 2.56624 13.5 1130.76
HIP67851_b 64.1181 7.52341 69.2164 13.5 2.30668
HD180902_b 104.577 13.3873 4.79451 13.5 661.605
HD6718_b 51.3444 69.1409 0.0896486 13.5 301597
HD50499_b 46.2845 82.8139 0.161779 13.5 16033.8
omeSer_b 76.7556 14.3312 58.5079 13.5 5.23903
HD4113_b 41.8727 30.5762 0.743652 13.5 1096.25
HD74156_b 57.603 4.86343 32.0793 13.5 7.75409
HD23127_b 93.8555 25.2516 0.504084 13.5 110790
HD29399_b 44.1518 43.3278 2.74518 13.5 66.3974
HD82943_b 27.5902 42.8797 1.11683 13.5 86.2745
HD206610_b 147.192 11.8213 6.23593 13.4 3770.8
HD47366_c 84.3552 23.3536 6.31055 13.4 91.0379
HD93083_b 28.5159 16.7275 1.80287 13.4 17.4213
HD159243_c 73.3055 10.9132 2.03151 13.4 3361.16
24Sex_b 72.0691 18.4961 8.20993 13.4 183.068
HD22532_b 161.183 11.7878 5.20586 13.4 2969.41
HIP90988_b 94.0349 14.459 4.19899 13.4 514.241
HD117207_b 32.3547 117.046 0.0811726 13.4 14256.6
HD164604_b 39.3633 33.8132 0.145762 13.4 55921.2
HIP114933_b 101.766 27.9072 1.71145 13.4 4705.72
7CMa_b 19.8101 88.7426 3.74078 13.4 1.26903
HD65216_c 35.1205 163.722 0.0214123 13.4 168966
HD98219_b 113.704 11.0814 7.05113 13.4 873.652
HD4313_b 136.308 8.48813 10.5277 13.4 794.336
HIP79431_b 14.5324 24.7722 0.217969 13.4 1633.55
HIP107773_b 105.18 6.84541 143 13.4 9.57378
HD147018_b 40.4256 5.90715 12.4719 13.4 33.8592
HD192699_b 71.8627 14.7921 9.03511 13.4 61.4774
HD82943_c 27.5902 26.9462 2.82811 13.4 16.6991
HD70642_b 29.276 113.335 0.0933786 13.4 7738.69
HD190647_b 54.4738 40.9555 0.398108 13.4 3347.77
HD33844_b 105.779 15.1259 5.50503 13.4 637.688
GJ317_b 15.1968 75.7396 0.0155185 13.3 66198.4
HD11506_c 51.261 14.617 3.86998 13.3 58.968
HD159868_b 55.8503 41.5396 0.668381 13.3 2203.13
HR810_b 17.3181 53.1236 2.11556 13.3 2.48266
HD60532_c 25.9716 61.6058 3.91525 13.3 9.20747
HIP74890_b 78.6562 26.6985 3.72016 13.3 1096.19
HD47366_b 84.3552 15.1739 14.9479 13.3 21.1521
HD25723_b 114.816 12.9773 39.5938 13.3 22.2376
HD154857_b 63.4482 20.3315 2.7658 13.3 297.039
HD212771_b 111.155 10.7058 10.8869 13.3 497.162
HD4732_c 54.7841 83.966 0.731955 13.3 1973.19
HD147873_c 109.055 12.4708 3.23536 13.3 1273.35
HD73526_c 97.2396 10.5924 2.0527 13.3 13756.7
HD4732_b 54.7841 21.7216 10.9372 13.3 11.0996
GJ876_b 4.67517 44.5582 0.285463 13.3 0.538612
HD155233_b 74.2309 26.943 3.36465 13.2 727.954
HD12484_b 48.3367 6.1444 11.9258 13.2 433.891
HD153950_b 48.4549 26.4163 1.35388 13.2 318.321
HD37605_b 46.7864 5.92052 7.85309 13.2 86.8688
HD109286_b 55.4156 22.7192 0.519934 13.2 13896
HD50499_c 46.2845 194.882 0.0292137 13.2 464213
HD171028_b 111.659 11.8217 3.1035 13.2 1612.46
HD125612_b 57.6207 23.3992 0.631598 13.2 8317.42
HD23079_b 33.4591 47.8196 0.530591 13.2 496.118
HD64121_b 129.966 11.6184 7.7633 13.2 909.951
HD113538_b 16.2817 76.1591 0.0585001 13.2 526.225
xiAql_b 56.1858 12.1027 149.273 13.2 0.538581
HD154857_c 63.4482 84.4784 0.160942 13.2 57331.2
HD165155_b 63.3574 17.8353 0.548079 13.2 32708.3
HIP12961_b 23.371 10.697 1.58899 13.2 176.79
HD169830_b 37.6048 20.3312 7.85572 13.2 2.76717
HD181342_b 120.391 13.2236 4.73275 13.2 956.074
HD72659_b 51.8949 90.358 0.107601 13.1 48743.7
91Aqr_b 44.0304 15.8981 100.416 13.1 0.283157
HD183263_b 54.1955 26.9264 0.835057 13.1 1032.78
HD95089_c 136.957 24.3142 1.20257 13.1 19068.3
HD221287_b 55.9231 22.3521 1.06214 13.1 527.127
HD203387_b 61.7477 28.6482 23.1506 13.1 16.3655
HD18742_b 162.685 11.1873 4.19621 13.1 3027.87
HD73526_b 97.2396 6.68452 5.15434 13.1 9469.97
75Cet_b 82.9613 25.313 12.1776 13.1 76.5651
HD143361_b 68.5146 29.0157 0.204723 13.1 177196
HD69123_b 75.116 33.0422 4.79067 13.1 226.377
HD18015_b 123.801 31.2598 0.628895 13.1 40314.9
HD196050_b 50.6742 49.5321 0.288837 13.1 4456.01
HD86950_b 209.839 12.9623 4.90752 13 7919.83
HD76920_b 184.031 6.24351 18.1702 13 889.506
HD128311_c 16.3292 106.558 0.101602 13 1084.82
HD47186_c 37.4574 63.9393 0.192481 13 4148.87
HD92788_b 34.6538 27.9912 1.1129 13 100.764
HD55696_b 77.9693 40.7853 0.266162 13 35189
HD73267_b 50.4093 44.1877 0.157898 13 151265
HD111998_b 33.2237 54.7802 0.981425 12.9 413.186
HD204313_b 47.7945 66.5991 0.124253 12.9 20938.8
17Sco_b 124.953 11.6044 85.3619 12.9 16.9042
GJ86_b 10.7836 10.2007 33.6678 12.9 0.00250427
gamLib_c 47.4017 45.7789 15.0342 12.9 3.64054
HD154672_b 63.0484 9.5165 5.01993 12.8 526.629
BD-1763_b 34.4603 38.8853 0.116894 12.8 40134.9
HD11506_b 51.261 54.5916 0.277442 12.8 8786.9
HD145377_b 53.4884 8.41304 7.70149 12.8 32.2811
HD213240_b 40.8707 46.2434 0.751755 12.8 887.132
HD28185_b 39.3809 26.2731 0.969182 12.8 208.348
HD66141_b 68.1509 17.608 120.681 12.8 2.39681
HD70573_b 59.182 29.7388 0.322088 12.8 51523.2
HD135872_b 82.4251 50.7586 0.494153 12.8 24970.9
GJ676A_b 16.0272 108.224 0.0301047 12.8 34438.2
81Cet_b 101.26 24.6889 9.59666 12.8 175.773
HD11977_b 67.9331 28.4103 18.5304 12.7 27.5839
HD224538_b 79.0608 30.0196 0.523923 12.7 11829.2
HD2039_b 85.6922 25.6733 0.322964 12.7 361439
HIP56640_b 122.324 37.2031 0.541775 12.7 60246
HD169830_c 37.6048 81.7289 0.48614 12.7 1938.46
HD147018_c 40.4256 47.5441 0.192528 12.7 25715.3
HIP65891_b 150.292 18.5816 5.72748 12.7 3976.73
HD1666_b 117.908 7.97232 6.07777 12.7 5174.14
HD102329_b 217.107 8.3369 5.9792 12.6 5080.06
HD47536_b 122.536 15.7505 47.521 12.6 46.1602
HIP105854_b 78.6381 10.3004 71.2902 12.6 4.29993
HD203387_c 61.7477 82.08 2.82022 12.6 2391.52
HD168443_b 39.6245 7.37526 28.2174 12.6 1.68732
betCnc_b 89.0472 19.091 274.854 12.6 0.852592
HD222582_b 42.1586 31.7847 0.725756 12.6 835.988
HIP67851_c 64.1181 94.0776 0.442656 12.6 8097.82
HIP8541_b 155.121 24.0885 1.81987 12.6 32993
HD203473_b 72.6402 37.5825 0.238602 12.6 118893
HD111232_b 28.9571 74.1535 0.149702 12.6 2761.82
HD7449_b 38.662 63.0736 0.212196 12.6 24078.5
HD74156_c 57.603 63.8241 0.186269 12.5 34875.3
18Del_b 76.222 34.1109 5.91634 12.5 214.862
betPic_c 19.7442 135.76 1.2635 12.5 77.783
HD30177_b 55.5867 64.8178 0.0932543 12.5 402314
HD183263_c 54.1955 102.99 0.0570804 12.5 195906
BD-082823_c 41.3342 16.4513 0.511661 12.5 10114.8
HD215497_c 40.5468 31.6178 0.236714 12.5 15315.5
HD106252_b 38.185 68.3514 0.194858 12.5 9417.02
HD564_b 51.1659 23.4531 0.7255 12.5 5890.15
HD38801_b 91.4349 17.7503 1.73126 12.5 2700.82
HD141937_b 33.3622 44.9611 0.467539 12.5 592.135
HD171238_b 44.8113 57.3516 0.123065 12.5 499488
HD106270_b 93.808 35.6046 0.511101 12.5 17180.2
HD156846_b 47.7332 23.4638 3.96793 12.4 212.341
HD38529_c 42.3538 76.1353 0.656211 12.4 884.294
HD106515A_b 34.0915 131.892 0.0339053 12.4 89176.8
HD110014_b 100.758 21.239 43.9716 12.4 42.8137
HD217786_b 55.4847 44.0666 0.315817 12.3 7254.65
HIP67537_b 116.046 41.5252 1.78285 12.3 37159.8
HD136118_b 51.4359 45.2069 0.685576 12.3 2960.52
HD86264_b 67.8107 40.7328 0.599122 12.3 17479.8
HD202206_c 45.9665 52.4295 0.186623 12.2 49299.6
HD168443_c 39.6245 71.694 0.298611 12.2 5117.27
HIP97233_b 102.275 24.3541 2.57819 12.1 5998.22
nuOph_c 46.2107 128.347 3.10988 12 152.65
nuOph_b 46.2107 38.7356 34.1424 12 1.46606
BD-004475_b 42.6402 34.709 0.203928 12 160948
HD160691_b 15.5981 96.1656 0.84298 11.9797 20.9784
HD160691_e 15.5981 59.8791 2.17423 11.9008 3.29739
HD7199_b 36.1531 37.6178 0.378375 11.1 1324.76
HD16141_b 37.7861 9.52731 17.9224 10.9 5.26392
HD142_d 26.1853 18.1042 13.2533 10.8 0.735442
HD101930_b 30.0274 9.99088 5.44199 10.6 10.9155
HD126525_b 37.6506 48.7907 0.27026 10.3 4578.52
HD204941_b 28.7165 88.7991 0.0476343 10.1 211002
HD8326_b 30.6862 17.3694 1.13382 9.58 899.412
HD21411_b 29.1328 12.4259 4.13602 9.52 16.8168
HD10180_h 38.9607 86.7798 0.13029 9.4 44516.1
HD218566_b 28.8274 23.9356 0.741826 9.32 1980.25
HD45364_b 34.354 19.8318 1.22835 8.97 261.612
HD34445_c 46.0907 15.5801 3.8961 8.42 201.242
BD-061339_c 20.2695 21.4608 0.502367 8.38 1241.38
HD13724_c 43.465 12.2929 3.97571 8.21 188.725
HD104067_b 20.3632 12.7681 4.53997 8.18 6.46937
HD34445_f 46.0907 33.4775 0.843856 6.88 6936.04
HD206255_b 75.2363 6.12736 21.1153 6.47 1061.41
HD85390_b 33.5225 40.9576 0.227855 6.16 177533
HD34445_d 46.0907 10.4511 8.65858 6.07 281.431
HD134060_c 24.0125 99.6481 0.251297 5.91 26087.8
HD10180_e 38.9607 6.92749 20.4453 5.39 280.771
HD11964_c 33.5369 6.8283 54.8693 5.38 17.4709
HD192310_c 8.79687 134.139 0.276208 5.25 268.832
HD10180_f 38.9607 12.6512 6.13031 5.24 414.273
GJ3293_b 20.1903 7.10193 1.06896 5.19 10343
61Vir_d 8.50332 55.9781 3.54639 5.11 4.08209
HD99492_b 18.2038 6.59203 23.2615 5.02 0.403567
HD16417_b 25.3936 5.5132 141.496 5 2.82154
HD10180_g 38.9607 36.6267 0.731395 4.91 22174.5
GJ3293_c 20.1903 17.917 0.167951 4.87 55850
HIP19976_b 40.2707 5.81904 3.39874 4.8 257605
HIP71135_b 32.3311 10.3615 1.10131 4.55 296084
61Vir_c 8.50332 25.5782 16.9856 4.46 0.331522
HD69830_d 12.5591 50.1628 1.51816 4.45 61.8071
